userId,userName,password,email,usertype,address,locationLat,locationLong,location
1,Tom,tom,tom@gmail.com,customer,"215 West Washington, W Washington St, Chicago, IL 60606",41.882858399999996,-87.6363466,"Chicago, IL"
2,Bill,bill,bill@gmail.com,doctor,"3000 N Halsted St Ste 720, Chicago, IL 60657",41.936704399999996,-87.6519388,"Chicago, IL"
3,Lily,lily,lily@gmail.com,customer,"255 King St, San Francisco, CA 94107",37.749588700000004,-122.4381021,"San Francisco, CA"
4,Jason,jason,jason@gmail.com,customer,"1700 Newbury Park Dr, San Jose, CA 95133",37.3750217,-121.86505770000001,"San Jose, CA"
5,Ming,ming,ming@gmail.com,doctor,"909 Hyde St #432, San Francisco, CA 94109",37.789371,-122.41944409999999,"San Francisco, CA"
6,Justin,justin,justin@gmail.com,customer,"101 Colorado St, Austin, TX 78701",30.264137199999997,-97.7477867,"Austin, TX"
7,Brynna,brynna ,brynna@gmail.com,doctor,"2911 Medical Arts St Building #10, Austin, TX 78705",30.2880745,-97.7295075,"Austin, TX"
8,Gina,gina,tina@gmail.com,customer,"2829 27th St W, Williston, ND 58801",48.170071899999996,-103.6650649,"Williston, ND"
9,Ryan ,ryan ,ryan@gmail.com,doctor,"1321 W Dakota Pkwy, Williston, ND 58801",48.1559559,-103.6530379,"Williston, ND"
10,David,david,david@gmail.com,customer,"111 N Wabash Ave STE 1412, Chicago, IL 60602",41.88347460000001,-87.6279434,"Chicago, IL"
11,Milton,milton,milton@gmail.com,doctor,"210 East 64th Street, 7th Floor, New York City, NY 10065",40.7640723,-73.9655038,"New York City, NY"
12,David,david,david@gmail.com,doctor,"111 N Wabash Ave STE 1412, Chicago, IL 60602",41.88347460000001,-87.6279434,"Chicago, IL"
13,Shirish,shirish,shirish@gmail.com,doctor,"5600 W Addison St Ste 400, Chicago, IL 60634",41.946091100000004,-87.7693311,"Chicago, IL"
14,Adrian,adrian,adrian@gmail.com,doctor,"5200 Jose Figueres Ave #215, San Jose, CA 95116",37.3615718,-121.85241640000001,"San Jose, CA"
15,Russell,russell,russell@gmail.com,doctor,"8875 Centre Park Dr suite d, Columbia, MD 21045",39.2289939,-76.8156736,"Columbia, MD"
16,March,march,march@gmail.com,doctor,"131 Summer Pl Dr, West Columbia, SC 29169",34.0042347,-81.12318259999999,"West Columbia, SC"
17,Mark,mark,mark@gmail.com,doctor,"11200 Gov Manly Way #309, Raleigh, NC 27614",35.947750899999996,-78.543784,"Raleigh, NC"
18,Jon,jon,jon@gmail.com,doctor,"55 Fruit St, Boston, MA 02114",42.362706,-71.0708467,"Boston, MA"
19,Peter,peter,peter@gmail.com,doctor,"330 Brookline Ave, Boston, MA 02215",42.3398798,-71.106747,"Boston, MA"
